Lightning Greaves,NCC-UC-ENG-371-NM,0,8.1000,8.1000,8.1000
Lightning Greaves,CLB-UC-ENG-864-NM,12,10.1000,10.1000,10.1000
Lightning Greaves,LTC-UC-ENG-0281-NM,10,10.8000,10.8000,10.8000
Lightning Greaves,CMM-UC-ENG-0398-NM,12,10.8000,10.8000,10.8000
Lightning Greaves,WHO-UC-ENG-0243-NM,7,9.5000,9.5000,9.5000
Lightning Greaves,PIP-UC-ENG-0233-NM,9,10.1000,10.1000,10.1000
Lightning Greaves,OTC-UC-ENG-0260-NM,0,8.8000,8.8000,8.8000
Lightning Greaves,M3C-UC-ENG-0298-NM,11,10.1000,10.1000,10.1000
Lightning Greaves,DSC-UC-ENG-0093-NM,10,10.1000,10.1000,10.1000
Lightning Greaves,MB2-UC-ENG-0225-NM,3,12.0000,12.0000,12.0000
Lightning Greaves (Archenemy),MISC-UC-ENG-ARC-110-NM,1,18.9000,18.9000,18.9000
Lightning Greaves (Commander 2019),MB1-UC-ENG-1600-NM,3,10.1000,10.1000,10.1000
Lightning Greaves (Commander Edition),MISC-UC-EN-CMD-253-NM,2,11.5000,11.5000,11.5000
Lightning Greaves (Duel Decks: Phyrexia vs. The Coalition),MISC-UC-ENG-DDE-019-NM,2,11.5000,11.5000,11.5000
Lightning Greaves (Kaladesh Masterpiece: Inventions),KLD-EXP-EN-014-NM,0,283.5000,283.5000,283.5000
Lightning Greaves (Mirrodin) ,MISC-UC-EN-MRD-199-NM,0,16.2000,16.2000,16.2000
Lightning Greaves (Mirrodin) [EX-PLD],MISC-UC-EN-MRD-199-EX,0,11.5000,11.5000,11.5000
Lightning Greaves (Secret Lair Drop),PR-SLD-R-ENG-099-NM,0,28.6000,28.6000,28.6000
Lightning Greaves FOIL,2XM-UC-FOIL-ENG-267-NM,15,13.5000,13.5000,13.5000
Lightning Greaves FOIL,CMM-UC-FOIL-ENG-0398-NM,0,10.8000,10.8000,10.8000
Lightning Greaves FOIL,WHO-UC-FOIL-ENG-0243-NM,1,13.5000,13.5000,13.5000
Lightning Greaves FOIL (Friday Night Magic),PR-UC-FOIL-ENG-FNM-8F09-NM,0,33.7500,33.7500,33.7500
Lightning Greaves FOIL (Kaladesh Inventions),PR-MPS-ENG-014-NM,0,169.0000,169.0000,169.0000
Lightning Greaves FOIL (Mirrodin) ,MISC-UC-FOIL-ENG-MRD-199-NM,0,52.0000,52.0000,52.0000
Lightning Greaves FOIL [Alternate Art] [Borderless],2XM-R-FOIL-ENG-360-NM,4,49.9900,49.9900,49.9900
Lightning Greaves [AA Borderless],LCC-UC-ENG-0114-NM,7,24.3000,24.3000,24.3000
Lightning Greaves [AA Borderless] FOIL,LCC-UC-FOIL-ENG-0114-NM,4,37.8000,37.8000,37.8000
Lightning Greaves [Alternate Art] [Borderless],2XM-R-ENG-360-NM,24,33.8000,33.8000,33.8000
Lightning Greaves | 稲妻のすね当て,C15-UC-JPN-257-NM,0,9.8000,9.8000,9.8000
Lightning Helix,DD-SVC-065-EN-NM,0,0.5500,0.5500,0.5500
Lightning Helix,IMA-UC-EN-204-NM,0,0.5000,0.5000,0.5000
Lightning Helix,E02-UC-EN-039-NM,1,1.5000,1.5000,1.5000
Lightning Helix ,GK1-UC-EN-090-NM,0,1.7000,1.7000,1.7000
Lightning Helix,STA-R-ENG-062-NM,6,0.8000,0.8000,0.8000
Lightning Helix,2X2-UC-ENG-243-NM,0,0.5000,0.5000,0.5000
Lightning Helix,RVR-UC-ENG-0197-NM,0,0.5000,0.5000,0.5000
Lightning Helix,MKM-UC-ENG-0218-NM,3,0.5000,0.5000,0.5000
Lightning Helix (Foil-Etched),STA-R-ETCHED-ENG-062-NM,0,1.8000,1.8000,1.8000
Lightning Helix (GK1) (PLIST),MB1-UC-ENG-1448-NM,0,1.3000,1.3000,1.3000
Lightning Helix (Magic Player Rewards 2006),PR-P06-ENG-007-NM,0,13.0000,13.0000,13.0000
Lightning Helix (Modern Masters),MISC-UC-ENG-MMA-179-NM,10,1.9500,1.9500,1.9500
Lightning Helix (Planechase),MISC-UC-ENG-HOP-090-NM,0,1.9500,1.9500,1.9500
Lightning Helix (Ravnica: City of Guilds),MISC-UC-EN-RAV-213-NM,0,0.7000,0.7000,0.7000
Lightning Helix (Secret Lair 30th Anniversary Countdown Kit),SLD-SLC-R-ENG-2005-NM,1,1.8000,1.8000,1.8000
Lightning Helix FOIL,IMA-UC-FOIL-EN-204-NM,0,1.1000,1.1000,1.1000
Lightning Helix FOIL,STA-R-FOIL-ENG-062-NM,2,4.0000,4.0000,4.0000
Lightning Helix FOIL,2X2-UC-FOIL-ENG-243-NM,0,1.0000,1.0000,1.0000
Lightning Helix FOIL,RVR-UC-FOIL-ENG-0197-NM,0,0.8000,0.8000,0.8000
Lightning Helix FOIL (Ravnica: City of Guilds),MISC-UC-FOIL-EN-RAV-213-NM,0,29.9000,29.9000,29.9000
Lightning Helix FOIL [Retro Frame],RVR-UC-FOIL-ENG-0372-NM,4,2.7000,2.7000,2.7000
Lightning Helix [Retro Frame],RVR-UC-ENG-0372-NM,2,0.5000,0.5000,0.5000
Lightning Javelin,ORI-C-EN-153-NM ,12,0.2500,0.2500,0.2500
Lightning Javelin FOIL,ORI-C-FOIL-EN-153-NM,8,0.4000,0.4000,0.4000
Lightning Mare,M19-UC-EN-151-NM,11,0.5000,0.5000,0.5000
Lightning Mauler,AVR-144EN-NM,12,0.5000,0.5000,0.5000
Lightning Phoenix,JMP-R-ENG-021-NM ,22,0.6000,0.6000,0.6000
Lightning Prowess,AVR-145EN-NM,12,0.5000,0.5000,0.5000
Lightning Reaver (Alara Reborn),MISC-R-ENG-ARB-042-NM,0,1.6900,1.6900,1.6900
Lightning Reflexes,DMR-C-ENG-128-NM,12,0.2500,0.2500,0.2500
